matrix	solver	weight	loop_total	per_iter_us	speedup_vs_gpu	dot	spmv	vec	dot_pct	spmv_pct	vec_pct	gpu_full_us	gpu_slice_us	cpu_slice_us
cage11	gpu	-	0.184678	184.678	1	0.077958	0.082017	0.031777	40.7	42.77	16.54			
cage11	hybrid	w400	0.223218	223.218	0.827344	0.078065	0.103608	0.031387	36.64	48.63	14.73			
cage11	spmv	w400	3.73812e-05	37.3812	1.0793		3.73812e-05					40.2381	35.8791	25.949
cage11	hybrid	w600	0.208808	208.808	0.884439	0.078497	0.097459	0.031376	37.84	46.99	15.15			
cage11	spmv	w600	4.10349e-05	41.0349	0.9798		4.10349e-05					40.2069	39.4869	25.079
cage11	hybrid	w800	0.198026	198.026	0.932595	0.078321	0.098542	0.031281	37.63	47.35	15.01			
cage11	spmv	w800	4.18329e-05	41.8329	0.9634		4.18329e-05					40.3001	39.8469	24.1251
cage11	hybrid	w1200	0.195291	195.291	0.945655	0.078157	0.092247	0.031345	38.72	45.71	15.58			
cage11	spmv	w1200	4.3319e-05	43.319	0.9289		4.3319e-05					40.237	39.9821	22.4221
cage11	hybrid	w2000	0.197444	197.444	0.935344	0.078593	0.089331	0.031799	39.3	44.67	15.9			
cage11	spmv	w2000	4.14929e-05	41.4929	0.9695		4.14929e-05					40.2269	40.0128	22.018
cage11	hybrid	w2720	0.191296	191.296	0.965404	0.078349	0.085573	0.031277	40.18	43.83	16.04			
cage11	spmv	w2720	4.13041e-05	41.3041	0.9748		4.13041e-05					40.231	40.133	19.0399
cage12	gpu	-	0.378039	378.039	1	0.117151	0.221067	0.057151	29.65	55.9	14.45			
cage12	hybrid	w400	0.373228	373.228	1.01289	0.115467	0.210324	0.057774	30.12	54.87	15.06			
cage12	spmv	w400	8.9344e-05	89.344	1.1751		8.9344e-05					104.987	88.213	35.553
cage12	hybrid	w600	0.359954	359.954	1.05024	0.115947	0.201209	0.057648	30.91	53.73	15.37			
cage12	spmv	w600	9.3966e-05	93.966	1.1184		9.3966e-05					105.084	92.8431	31.9791
cage12	hybrid	w800	0.354158	354.158	1.06743	0.116322	0.208959	0.057488	30.31	54.64	15.03			
cage12	spmv	w800	9.77678e-05	97.7678	1.0738		9.77678e-05					104.987	96.3359	29.875
cage12	hybrid	w1200	0.359029	359.029	1.05295	0.115235	0.215069	0.057367	29.73	55.49	14.78			
cage12	spmv	w1200	0.000100839	100.839	1.0417		0.000100839					105.043	99.7751	29.2771
cage12	hybrid	w2000	0.359975	359.975	1.05018	0.115269	0.216436	0.057164	29.69	55.61	14.71			
cage12	spmv	w2000	0.000102055	102.055	1.0301		0.000102055					105.088	101.069	27.92
cage12	hybrid	w2720	0.36568	365.68	1.0338	0.11368	0.222814	0.057278	28.93	56.49	14.55			
cage12	spmv	w2720	0.000104076	104.076	1.0108		0.000104076					105.168	103.083	24.5302
rma10	gpu	-	0.339929	339.929	1	0.078392	0.236517	0.032136	22.57	68.16	9.25			
rma10	hybrid	w400	0.2996	299.6	1.13461	0.078008	0.199528	0.031708	25.22	64.53	10.25			
rma10	spmv	w400	9.84209e-05	98.4209	1.1889		9.84209e-05					117.009	96.992	37.3108
rma10	hybrid	w600	0.307631	307.631	1.10499	0.078216	0.20788	0.032283	24.58	65.29	10.14			
rma10	spmv	w600	0.000102559	102.559	1.1414		0.000102559					117.065	101.612	30.5538
rma10	hybrid	w800	0.314632	314.632	1.0804	0.077955	0.216017	0.032042	23.92	66.29	9.79			
rma10	spmv	w800	0.000106034	106.034	1.1036		0.000106034					117.001	105.056	29.645
rma10	hybrid	w1200	0.322952	322.952	1.05257	0.078418	0.223032	0.031913	23.52	66.88	9.56			
rma10	spmv	w1200	0.000109963	109.963	1.065		0.000109963					117.089	108.913	27.0739
rma10	hybrid	w2000	0.324997	324.997	1.04595	0.078218	0.224878	0.031991	23.36	67.09	9.55			
rma10	spmv	w2000	0.00011071	110.71	1.0582		0.00011071					117.095	109.449	24.169
rma10	hybrid	w2720	0.330761	330.761	1.02772	0.078228	0.231441	0.031934	22.9	67.75	9.36			
rma10	spmv	w2720	0.000114294	114.294	1.0248		0.000114294					117.131	112.979	23.8221
